Method,Type,Parameter,Score
CML 2001 (obsolete),resources,depletion of abiotic resources,1.2744198760408026e-06
CML 2001 (obsolete),acidification potential,average European,8.216832392946588e-07
CML 2001 (obsolete),acidification potential,generic,8.042046159815632e-07
CML 2001 (obsolete),climate change,GWP 100a,0.0001725065483838446
CML 2001 (obsolete),climate change,GWP 20a,0.00018594413434481477
CML 2001 (obsolete),climate change,GWP 500a,0.0001666708587734965
CML 2001 (obsolete),climate change,lower limit of net GWP,0.0001734306130935395
CML 2001 (obsolete),climate change,upper limit of net GWP,0.0001736985214880843
CML 2001 (obsolete),eutrophication potential,average European,4.684472217421589e-07
CML 2001 (obsolete),eutrophication potential,generic,5.824316482993918e-07
CML 2001 (obsolete),freshwater aquatic ecotoxicity,FAETP 100a,0.0001234464939138007
CML 2001 (obsolete),freshwater aquatic ecotoxicity,FAETP 20a,0.00011643888722706654
CML 2001 (obsolete),freshwater aquatic ecotoxicity,FAETP 500a,0.00012353777218944144
CML 2001 (obsolete),freshwater aquatic ecotoxicity,FAETP infinite,0.00012459610699285052
CML 2001 (obsolete),freshwater sediment ecotoxicity,FSETP 100a,0.0002700320382830136
CML 2001 (obsolete),freshwater sediment ecotoxicity,FSETP 20a,0.0002510734185394634
CML 2001 (obsolete),freshwater sediment ecotoxicity,FSETP 500a,0.00027024629334561904
CML 2001 (obsolete),freshwater sediment ecotoxicity,FSETP infinite,0.00027168547440458606
CML 2001 (obsolete),human toxicity,HTP 100a,4.4297693878111286e-05
CML 2001 (obsolete),human toxicity,HTP 20a,4.4104084242803214e-05
CML 2001 (obsolete),human toxicity,HTP 500a,4.4776745024033283e-05
CML 2001 (obsolete),human toxicity,HTP infinite,0.00013290652005758949
CML 2001 (obsolete),ionising radiation,ionising radiation,1.9522858720728946e-12
CML 2001 (obsolete),land use,competition,2.012017550815559e-05
CML 2001 (obsolete),malodours air,malodours air,1.5261399889333702
CML 2001 (obsolete),marine aquatic ecotoxicity,MAETP 100a,0.00043045931641625274
CML 2001 (obsolete),marine aquatic ecotoxicity,MAETP 20a,6.1459738402144e-05
CML 2001 (obsolete),marine aquatic ecotoxicity,MAETP 500a,0.002317396466535209
CML 2001 (obsolete),marine aquatic ecotoxicity,MAETP infinite,0.32027194585520596
CML 2001 (obsolete),marine sediment ecotoxicity,MSETP 100a,0.00046671378962031304
CML 2001 (obsolete),marine sediment ecotoxicity,MSETP 20a,0.00010502707840883469
CML 2001 (obsolete),marine sediment ecotoxicity,MSETP 500a,0.002068036838466098
CML 2001 (obsolete),marine sediment ecotoxicity,MSETP infinite,0.16558002892407653
CML 2001 (obsolete),photochemical oxidation (summer smog),EBIR,1.0397934853066957e-08
CML 2001 (obsolete),photochemical oxidation (summer smog),MIR,5.545630176511656e-09
CML 2001 (obsolete),photochemical oxidation (summer smog),MOIR,8.667915750568909e-09
CML 2001 (obsolete),photochemical oxidation (summer smog),high NOx POCP,3.232585532558741e-08
CML 2001 (obsolete),photochemical oxidation (summer smog),low NOx POCP,9.277576747893802e-09
CML 2001 (obsolete),stratospheric ozone depletion,ODP 10a,1.2363840061519881e-11
CML 2001 (obsolete),stratospheric ozone depletion,ODP 15a,1.162880445640555e-11
CML 2001 (obsolete),stratospheric ozone depletion,ODP 20a,1.1011906682440967e-11
CML 2001 (obsolete),stratospheric ozone depletion,ODP 25a,1.0584653764173149e-11
CML 2001 (obsolete),stratospheric ozone depletion,ODP 30a,1.013590493709486e-11
CML 2001 (obsolete),stratospheric ozone depletion,ODP 40a,9.279327629907882e-12
CML 2001 (obsolete),stratospheric ozone depletion,ODP 5a,1.3092256854531214e-11
CML 2001 (obsolete),stratospheric ozone depletion,ODP steady state,2.0021728657598352e-11
CML 2001 (obsolete),terrestrial ecotoxicity,TAETP 100a,4.218971372070238e-08
CML 2001 (obsolete),terrestrial ecotoxicity,TAETP 20a,1.7657719639136848e-08
CML 2001 (obsolete),terrestrial ecotoxicity,TAETP 500a,1.3612045176570727e-07
CML 2001 (obsolete),terrestrial ecotoxicity,TAETP infinite,7.08500375803676e-07
CML 2001 w/o LT (obsolete),resources w/o LT,depletion of abiotic resources w/o LT,1.2744198760408026e-06
CML 2001 w/o LT (obsolete),acidification potential w/o LT,average European w/o LT,8.216331407897774e-07
CML 2001 w/o LT (obsolete),acidification potential w/o LT,generic w/o LT,8.041136246176351e-07
CML 2001 w/o LT (obsolete),climate change w/o LT,GWP 100a w/o LT,0.00017250650447422485
CML 2001 w/o LT (obsolete),climate change w/o LT,GWP 20a w/o LT,0.00018594409061632546
CML 2001 w/o LT (obsolete),climate change w/o LT,GWP 500a w/o LT,0.00016667083437998817
CML 2001 w/o LT (obsolete),climate change w/o LT,lower limit of net GWP w/o LT,0.00017343057514246612
CML 2001 w/o LT (obsolete),climate change w/o LT,upper limit of net GWP w/o LT,0.00017369847857528307
CML 2001 w/o LT (obsolete),eutrophication potential w/o LT,average European w/o LT,4.6844455507077605e-07
CML 2001 w/o LT (obsolete),eutrophication potential w/o LT,generic w/o LT,1.0891832506868431e-07
CML 2001 w/o LT (obsolete),freshwater aquatic ecotoxicity w/o LT,FAETP 100a w/o LT,7.911817758153982e-07
CML 2001 w/o LT (obsolete),freshwater aquatic ecotoxicity w/o LT,FAETP 20a w/o LT,7.435065745455746e-07
CML 2001 w/o LT (obsolete),freshwater aquatic ecotoxicity w/o LT,FAETP 500a w/o LT,8.754239058861973e-07
CML 2001 w/o LT (obsolete),freshwater aquatic ecotoxicity w/o LT,FAETP infinite w/o LT,1.0739487547539119e-06
CML 2001 w/o LT (obsolete),freshwater sediment ecotoxicity w/o LT,FSETP 100a w/o LT,1.6949366693034716e-06
CML 2001 w/o LT (obsolete),freshwater sediment ecotoxicity w/o LT,FSETP 20a w/o LT,1.5780509291559324e-06
CML 2001 w/o LT (obsolete),freshwater sediment ecotoxicity w/o LT,FSETP 500a w/o LT,1.8943408882925231e-06
CML 2001 w/o LT (obsolete),freshwater sediment ecotoxicity w/o LT,FSETP infinite w/o LT,2.371698812248478e-06
CML 2001 w/o LT (obsolete),human toxicity w/o LT,HTP 100a w/o LT,3.573594316111483e-05
CML 2001 w/o LT (obsolete),human toxicity w/o LT,HTP 20a w/o LT,3.5693068725143074e-05
CML 2001 w/o LT (obsolete),human toxicity w/o LT,HTP 500a w/o LT,3.5840739923963756e-05
CML 2001 w/o LT (obsolete),human toxicity w/o LT,HTP infinite w/o LT,4.874773031398811e-05
CML 2001 w/o LT (obsolete),ionising radiation w/o LT,ionising radiation w/o LT,6.373473549142239e-13
CML 2001 w/o LT (obsolete),land use w/o LT,competition w/o LT,2.012017550815559e-05
CML 2001 w/o LT (obsolete),malodours air w/o LT,malodours air w/o LT,1.5248270339559094
CML 2001 w/o LT (obsolete),marine aquatic ecotoxicity w/o LT,MAETP 100a w/o LT,1.2504177616606472e-05
CML 2001 w/o LT (obsolete),marine aquatic ecotoxicity w/o LT,MAETP 20a w/o LT,2.358544024240697e-06
CML 2001 w/o LT (obsolete),marine aquatic ecotoxicity w/o LT,MAETP 500a w/o LT,6.507397800777374e-05
CML 2001 w/o LT (obsolete),marine aquatic ecotoxicity w/o LT,MAETP infinite w/o LT,0.10452926225119784
CML 2001 w/o LT (obsolete),marine sediment ecotoxicity w/o LT,MSETP 100a w/o LT,1.3965563610507368e-05
CML 2001 w/o LT (obsolete),marine sediment ecotoxicity w/o LT,MSETP 20a w/o LT,4.024297985572534e-06
CML 2001 w/o LT (obsolete),marine sediment ecotoxicity w/o LT,MSETP 500a w/o LT,6.141706417178019e-05
CML 2001 w/o LT (obsolete),marine sediment ecotoxicity w/o LT,MSETP infinite w/o LT,0.03749297465748273
CML 2001 w/o LT (obsolete),photochemical oxidation w/o LT,EBIR w/o LT,1.0397934853066957e-08
CML 2001 w/o LT (obsolete),photochemical oxidation w/o LT,MIR w/o LT,5.545630176511656e-09
CML 2001 w/o LT (obsolete),photochemical oxidation w/o LT,MOIR w/o LT,8.667915750568909e-09
CML 2001 w/o LT (obsolete),photochemical oxidation w/o LT,high NOx POCP w/o LT,3.232389138878285e-08
CML 2001 w/o LT (obsolete),photochemical oxidation w/o LT,low NOx POCP w/o LT,9.277576747893802e-09
CML 2001 w/o LT (obsolete),stratospheric ozone depletion w/o LT,ODP 10a w/o LT,1.236291387230934e-11
CML 2001 w/o LT (obsolete),stratospheric ozone depletion w/o LT,ODP 15a w/o LT,1.1627845189040606e-11
CML 2001 w/o LT (obsolete),stratospheric ozone depletion w/o LT,ODP 20a w/o LT,1.1010930875998822e-11
CML 2001 w/o LT (obsolete),stratospheric ozone depletion w/o LT,ODP 25a w/o LT,1.058366141855522e-11
CML 2001 w/o LT (obsolete),stratospheric ozone depletion w/o LT,ODP 30a w/o LT,1.0134879513322526e-11
CML 2001 w/o LT (obsolete),stratospheric ozone depletion w/o LT,ODP 40a w/o LT,9.278269127981144e-12
CML 2001 w/o LT (obsolete),stratospheric ozone depletion w/o LT,ODP 5a w/o LT,1.3091347204397875e-11
CML 2001 w/o LT (obsolete),stratospheric ozone depletion w/o LT,ODP steady state w/o LT,2.0020074748300857e-11
CML 2001 w/o LT (obsolete),terrestrial ecotoxicity w/o LT,TAETP 100a w/o LT,4.056372714292244e-08
CML 2001 w/o LT (obsolete),terrestrial ecotoxicity w/o LT,TAETP 20a w/o LT,1.7353066647354424e-08
CML 2001 w/o LT (obsolete),terrestrial ecotoxicity w/o LT,TAETP 500a w/o LT,1.2802141581168452e-07
CML 2001 w/o LT (obsolete),terrestrial ecotoxicity w/o LT,TAETP infinite w/o LT,6.424082417329041e-07
"eco-indicator 99, (E,E) (obsolete)",resources,mineral extraction,6.908717937214534e-08
"eco-indicator 99, (E,E) (obsolete)",resources,total,4.994735361194176e-06
"eco-indicator 99, (E,E) (obsolete)",total,total,1.2699376471455848e-05
"eco-indicator 99, (E,E) (obsolete)",ecosystem quality,acidification & eutrophication,2.631560599982468e-07
"eco-indicator 99, (E,E) (obsolete)",ecosystem quality,ecotoxicity,7.910700412254886e-07
"eco-indicator 99, (E,E) (obsolete)",ecosystem quality,land occupation,2.1783376158681026e-06
"eco-indicator 99, (E,E) (obsolete)",ecosystem quality,total,3.232563717091838e-06
"eco-indicator 99, (E,E) (obsolete)",human health,carcinogenics,1.4007103926288425e-06
"eco-indicator 99, (E,E) (obsolete)",human health,climate change,6.976701591171033e-07
"eco-indicator 99, (E,E) (obsolete)",human health,ionising radiation,3.779647666222865e-08
"eco-indicator 99, (E,E) (obsolete)",human health,ozone layer depletion,3.7933590760827704e-10
"eco-indicator 99, (E,E) (obsolete)",human health,respiratory effects,2.3355209767533826e-06
"eco-indicator 99, (E,E) (obsolete)",human health,total,4.472077344266481e-06
"eco-indicator 99, (E,E) (obsolete)",resources,fossil fuels,4.92564818182203e-06
"eco-indicator 99, (E,E) w/o LT (obsolete)",resources w/o LT,mineral extraction w/o LT,6.908717937214534e-08
"eco-indicator 99, (E,E) w/o LT (obsolete)",resources w/o LT,total w/o LT,4.994735361194176e-06
"eco-indicator 99, (E,E) w/o LT (obsolete)",total w/o LT,total w/o LT,1.113288998823532e-05
"eco-indicator 99, (E,E) w/o LT (obsolete)",ecosystem quality w/o LT,acidification & eutrophication w/o LT,2.6300922654369406e-07
"eco-indicator 99, (E,E) w/o LT (obsolete)",ecosystem quality w/o LT,ecotoxicity w/o LT,1.988861971620054e-07
"eco-indicator 99, (E,E) w/o LT (obsolete)",ecosystem quality w/o LT,land occupation w/o LT,2.1783376158681026e-06
"eco-indicator 99, (E,E) w/o LT (obsolete)",ecosystem quality w/o LT,total w/o LT,2.640233039573802e-06
"eco-indicator 99, (E,E) w/o LT (obsolete)",human health w/o LT,carcinogenics w/o LT,4.825967867760284e-07
"eco-indicator 99, (E,E) w/o LT (obsolete)",human health w/o LT,climate change w/o LT,6.976699898215097e-07
"eco-indicator 99, (E,E) w/o LT (obsolete)",human health w/o LT,ionising radiation w/o LT,1.2345840817681898e-08
"eco-indicator 99, (E,E) w/o LT (obsolete)",human health w/o LT,ozone layer depletion w/o LT,3.7930556168119323e-10
"eco-indicator 99, (E,E) w/o LT (obsolete)",human health w/o LT,respiratory effects w/o LT,2.304929619995983e-06
"eco-indicator 99, (E,E) w/o LT (obsolete)",human health w/o LT,total w/o LT,3.497921546116861e-06
"eco-indicator 99, (E,E) w/o LT (obsolete)",resources w/o LT,fossil fuels w/o LT,4.92564818182203e-06
"eco-indicator 99, (H,A) (obsolete)",resources,mineral extraction,4.879598438582637e-08
"eco-indicator 99, (H,A) (obsolete)",resources,total,2.9262870368201763e-06
"eco-indicator 99, (H,A) (obsolete)",total,total,1.003766400138734e-05
"eco-indicator 99, (H,A) (obsolete)",ecosystem quality,acidification & eutrophication,2.105272355265271e-07
"eco-indicator 99, (H,A) (obsolete)",ecosystem quality,ecotoxicity,6.32860700968513e-07
"eco-indicator 99, (H,A) (obsolete)",ecosystem quality,land occupation,2.7245293462542804e-07
"eco-indicator 99, (H,A) (obsolete)",ecosystem quality,total,1.115840871120468e-06
"eco-indicator 99, (H,A) (obsolete)",human health,carcinogenics,1.8797125621945576e-06
"eco-indicator 99, (H,A) (obsolete)",human health,climate change,9.36264592270288e-07
"eco-indicator 99, (H,A) (obsolete)",human health,ionising radiation,5.072237701664089e-08
"eco-indicator 99, (H,A) (obsolete)",human health,ozone layer depletion,5.090557651587626e-10
"eco-indicator 99, (H,A) (obsolete)",human health,respiratory effects,3.1283274510724352e-06
"eco-indicator 99, (H,A) (obsolete)",human health,total,5.995536057916516e-06
"eco-indicator 99, (H,A) (obsolete)",resources,fossil fuels,2.87749105243435e-06
"eco-indicator 99, (H,A) w/o LT (obsolete)",resources w/o LT,mineral extraction w/o LT,4.879598438582637e-08
"eco-indicator 99, (H,A) w/o LT (obsolete)",resources w/o LT,total w/o LT,2.9262870368201763e-06
"eco-indicator 99, (H,A) w/o LT (obsolete)",total w/o LT,total w/o LT,8.256471769415412e-06
"eco-indicator 99, (H,A) w/o LT (obsolete)",ecosystem quality w/o LT,acidification & eutrophication w/o LT,2.1040976598795145e-07
"eco-indicator 99, (H,A) w/o LT (obsolete)",ecosystem quality w/o LT,ecotoxicity w/o LT,1.591089515992215e-07
"eco-indicator 99, (H,A) w/o LT (obsolete)",ecosystem quality w/o LT,land occupation w/o LT,2.7245293462542804e-07
"eco-indicator 99, (H,A) w/o LT (obsolete)",ecosystem quality w/o LT,total w/o LT,6.419716522126011e-07
"eco-indicator 99, (H,A) w/o LT (obsolete)",human health w/o LT,carcinogenics w/o LT,6.475984007148716e-07
"eco-indicator 99, (H,A) w/o LT (obsolete)",human health w/o LT,climate change w/o LT,9.362643650804062e-07
"eco-indicator 99, (H,A) w/o LT (obsolete)",human health w/o LT,ionising radiation w/o LT,1.6567944480892317e-08
"eco-indicator 99, (H,A) w/o LT (obsolete)",human health w/o LT,ozone layer depletion w/o LT,5.090150409514679e-10
"eco-indicator 99, (H,A) w/o LT (obsolete)",human health w/o LT,respiratory effects w/o LT,3.0872733167296298e-06
"eco-indicator 99, (H,A) w/o LT (obsolete)",human health w/o LT,total w/o LT,4.688213061359719e-06
"eco-indicator 99, (H,A) w/o LT (obsolete)",resources w/o LT,fossil fuels w/o LT,2.87749105243435e-06
"eco-indicator 99, (I,I) (obsolete)",resources,mineral extraction,2.7358251956185023e-06
"eco-indicator 99, (I,I) (obsolete)",resources,total,2.7358251956185023e-06
"eco-indicator 99, (I,I) (obsolete)",total,total,1.1520126081338849e-05
"eco-indicator 99, (I,I) (obsolete)",ecosystem quality,acidification & eutrophication,1.495858758954108e-07
"eco-indicator 99, (I,I) (obsolete)",ecosystem quality,ecotoxicity,1.3989023278346115e-08
"eco-indicator 99, (I,I) (obsolete)",ecosystem quality,land occupation,1.2388526694045258e-06
"eco-indicator 99, (I,I) (obsolete)",ecosystem quality,total,1.4024275685782827e-06
"eco-indicator 99, (I,I) (obsolete)",human health,carcinogenics,7.545600687411544e-07
"eco-indicator 99, (I,I) (obsolete)",human health,climate change,2.293834421367704e-06
"eco-indicator 99, (I,I) (obsolete)",human health,ionising radiation,5.396512157868803e-09
"eco-indicator 99, (I,I) (obsolete)",human health,ozone layer depletion,1.0552538406390539e-09
"eco-indicator 99, (I,I) (obsolete)",human health,respiratory effects,4.327026997781504e-06
"eco-indicator 99, (I,I) (obsolete)",human health,total,7.381873247419561e-06
ecological scarcity 1997 (obsolete),total,deposited waste,0.009127151287312318
ecological scarcity 1997 (obsolete),total,emission into air,0.09840990914638963
ecological scarcity 1997 (obsolete),total,emission into top-soil/groundwater,0.00023658136978985258
ecological scarcity 1997 (obsolete),total,emission into water,0.0005443463551433289
ecological scarcity 1997 (obsolete),total,radioactive waste,0.07074023358412448
ecological scarcity 1997 (obsolete),total,total,0.36551526300306286
ecological scarcity 1997 (obsolete),total,use of energy resources,0.0036994097587718508
ecological scarcity 2006 (obsolete),total,deposited waste,0.04683212566220597
ecological scarcity 2006 (obsolete),total,emission into air,0.11924159521524451
ecological scarcity 2006 (obsolete),total,emission into groundwater,0.00017145732852404032
ecological scarcity 2006 (obsolete),total,emission into surface water,0.008266804297833222
ecological scarcity 2006 (obsolete),total,emission into top soil,0.0007417659597861772
ecological scarcity 2006 (obsolete),total,energy resources,0.013008415965952624
ecological scarcity 2006 (obsolete),total,natural resources,0.10123808139685721
ecological scarcity 2006 (obsolete),total,total,0.2895002458264037
EDIP (obsolete),resource consumption,"non-renewable resources, antimony",9.184347511444638e-15
EDIP (obsolete),resource consumption,"non-renewable resources, cadmium",6.640442188784156e-13
EDIP (obsolete),resource consumption,"non-renewable resources, cerium",1.8032709506229316e-12
EDIP (obsolete),resource consumption,"non-renewable resources, copper",4.2105043613048416e-08
EDIP (obsolete),resource consumption,"non-renewable resources, molybdenum",0.0
EDIP (obsolete),resource consumption,"non-renewable resources, gold",1.3162043551308756e-11
EDIP (obsolete),resource consumption,"non-renewable resources, iron",1.2593375873149741e-06
EDIP (obsolete),resource consumption,"non-renewable resources, lanthanum",5.405951392668643e-13
EDIP (obsolete),resource consumption,"non-renewable resources, lead",1.293964543882452e-09
EDIP (obsolete),resource consumption,"non-renewable resources, manganese",6.76950892001559e-09
EDIP (obsolete),resource consumption,"non-renewable resources, mercury",5.698607469518677e-13
EDIP (obsolete),resource consumption,"non-renewable resources, nickel",1.3249513253390124e-08
EDIP (obsolete),resource consumption,"non-renewable resources, palladium",1.3302700938986646e-13
EDIP (obsolete),resource consumption,"non-renewable resources, platinum",1.2373243969019186e-13
EDIP (obsolete),resource consumption,"non-renewable resources, silver",5.948864808132898e-12
EDIP (obsolete),resource consumption,"non-renewable resources, tantalum",6.903552056685118e-13
EDIP (obsolete),resource consumption,"non-renewable resources, tin",2.1541220817102642e-11
EDIP (obsolete),resource consumption,"non-renewable resources, zinc",5.7663761937791776e-09
EDIP (obsolete),environmental impact,acidification,8.042011960749901e-07
EDIP (obsolete),environmental impact,"ecotoxicity, acute, in water",0.11096047947089345
EDIP (obsolete),environmental impact,"ecotoxicity, chronic, in soil",0.0003167916393447129
EDIP (obsolete),environmental impact,"ecotoxicity, chronic, in water",0.5838737844843079
EDIP (obsolete),environmental impact,"ecotoxicity, in sewage treatment plants",2.4102013537590232
EDIP (obsolete),environmental impact,"global warming, GWP 100a",0.0001720416185414583
EDIP (obsolete),environmental impact,"global warming, GWP 20a",0.00018300885818026548
EDIP (obsolete),environmental impact,"global warming, GWP 500a",0.0001666742428361998
EDIP (obsolete),environmental impact,"human toxicity, via air",63.51178136793224
EDIP (obsolete),environmental impact,"human toxicity, via soil",2.6653145600156478e-05
EDIP (obsolete),environmental impact,"human toxicity, via surface water",0.016874819529552908
EDIP (obsolete),environmental impact,"land filling, bulk waste",1.7688827546694014e-05
EDIP (obsolete),environmental impact,"land filling, hazardous waste",1.3769586067701093e-09
EDIP (obsolete),environmental impact,"land filling, radioactive waste",2.5065674246649638e-08
EDIP (obsolete),environmental impact,"land filling, slag and ashes",4.414858282971307e-07
EDIP (obsolete),environmental impact,"nutrient enrichment, combined potential",6.065702790293866e-06
EDIP (obsolete),environmental impact,"nutrient enrichment, separate N potential",1.593725344542514e-07
EDIP (obsolete),environmental impact,"nutrient enrichment, separate P potential",1.691843918307711e-07
EDIP (obsolete),environmental impact,"photochemical ozone formation, high NOx POCP",2.1302759078574483e-08
EDIP (obsolete),environmental impact,"photochemical ozone formation, low NOx POCP",2.2141589503982683e-08
EDIP (obsolete),environmental impact,"stratospheric ozone depletion, ODP 100a",7.514899464240247e-12
EDIP (obsolete),environmental impact,"stratospheric ozone depletion, ODP 20a",1.1017990413247244e-11
EDIP (obsolete),environmental impact,"stratospheric ozone depletion, ODP 5a",1.3081436637722945e-11
EDIP (obsolete),environmental impact,"stratospheric ozone depletion, ODP steady state",2.0013066913282682e-11
EDIP (obsolete),resource consumption,"non-renewable resources, aluminium",2.5918765763054372e-08
EDIP (obsolete),resource consumption,"non-renewable resources, brown coal",5.6796587778628906e-05
EDIP (obsolete),resource consumption,"non-renewable resources, coal",3.601940741029052e-05
EDIP (obsolete),resource consumption,"non-renewable resources, cobalt",3.760934627791806e-12
EDIP (obsolete),resource consumption,"non-renewable resources, natural gas",1.4529309931711571e-05
EDIP (obsolete),resource consumption,"non-renewable resources, oil",3.4679242718834896e-06
EDIP (obsolete),resource consumption,"renewable resources, wood",1.2434490181777383e-08
EDIP w/o LT (obsolete),resource consumption w/o LT,"non-renewable resources, antimony w/o LT",9.184347511444638e-15
EDIP w/o LT (obsolete),resource consumption w/o LT,"non-renewable resources, cadmium w/o LT",6.640442188784156e-13
EDIP w/o LT (obsolete),resource consumption w/o LT,"non-renewable resources, cerium w/o LT",1.8032709506229316e-12
EDIP w/o LT (obsolete),resource consumption w/o LT,"non-renewable resources, copper w/o LT",4.2105043613048416e-08
EDIP w/o LT (obsolete),resource consumption w/o LT,"non-renewable resources, molybdenum w/o LT",0.0
EDIP w/o LT (obsolete),resource consumption w/o LT,"non-renewable resources, gold w/o LT",1.3162043551308756e-11
EDIP w/o LT (obsolete),resource consumption w/o LT,"non-renewable resources, iron w/o LT",1.2593375873149741e-06
EDIP w/o LT (obsolete),resource consumption w/o LT,"non-renewable resources, lanthanum w/o LT",5.405951392668643e-13
EDIP w/o LT (obsolete),resource consumption w/o LT,"non-renewable resources, lead w/o LT",1.293964543882452e-09
EDIP w/o LT (obsolete),resource consumption w/o LT,"non-renewable resources, manganese w/o LT",6.76950892001559e-09
EDIP w/o LT (obsolete),resource consumption w/o LT,"non-renewable resources, mercury w/o LT",5.698607469518677e-13
EDIP w/o LT (obsolete),resource consumption w/o LT,"non-renewable resources, nickel w/o LT",1.3249513253390124e-08
EDIP w/o LT (obsolete),resource consumption w/o LT,"non-renewable resources, palladium w/o LT",1.3302700938986646e-13
EDIP w/o LT (obsolete),resource consumption w/o LT,"non-renewable resources, platinum w/o LT",1.2391288956731719e-13
EDIP w/o LT (obsolete),resource consumption w/o LT,"non-renewable resources, silver w/o LT",5.9491828836297156e-12
EDIP w/o LT (obsolete),resource consumption w/o LT,"non-renewable resources, tantalum w/o LT",6.903552056685118e-13
EDIP w/o LT (obsolete),resource consumption w/o LT,"non-renewable resources, tin w/o LT",2.1541220817102642e-11
EDIP w/o LT (obsolete),resource consumption w/o LT,"non-renewable resources, zinc w/o LT",5.7663761937791776e-09
EDIP w/o LT (obsolete),environmental impact w/o LT,acidification w/o LT,8.041102047110619e-07
EDIP w/o LT (obsolete),environmental impact w/o LT,"ecotoxicity, acute, in water w/o LT",0.005399834640556585
EDIP w/o LT (obsolete),environmental impact w/o LT,"ecotoxicity, chronic, in soil w/o LT",0.00031429903676128096
EDIP w/o LT (obsolete),environmental impact w/o LT,"ecotoxicity, chronic, in water w/o LT",0.025711908201777517
EDIP w/o LT (obsolete),environmental impact w/o LT,"ecotoxicity, in sewage treatment plants w/o LT",0.09602255292716005
EDIP w/o LT (obsolete),environmental impact w/o LT,"global warming, GWP 100a w/o LT",0.00017204157503778746
EDIP w/o LT (obsolete),environmental impact w/o LT,"global warming, GWP 20a w/o LT",0.00018300881651608136
EDIP w/o LT (obsolete),environmental impact w/o LT,"global warming, GWP 500a w/o LT",0.0001666742181562804
EDIP w/o LT (obsolete),environmental impact w/o LT,"human toxicity, via air w/o LT",48.112641909564346
EDIP w/o LT (obsolete),environmental impact w/o LT,"human toxicity, via soil w/o LT",2.117812448001822e-05
EDIP w/o LT (obsolete),environmental impact w/o LT,"human toxicity, via surface water w/o LT",0.0013344767356714515
EDIP w/o LT (obsolete),environmental impact w/o LT,"land filling, bulk waste w/o LT",1.7688827546694014e-05
EDIP w/o LT (obsolete),environmental impact w/o LT,"land filling, hazardous waste w/o LT",1.3769586067701093e-09
EDIP w/o LT (obsolete),environmental impact w/o LT,"land filling, radioactive waste w/o LT",2.5065674246649638e-08
EDIP w/o LT (obsolete),environmental impact w/o LT,"land filling, slag and ashes w/o LT",4.414858282971307e-07
EDIP w/o LT (obsolete),environmental impact w/o LT,"nutrient enrichment, combined potential w/o LT",1.124648834040639e-06
EDIP w/o LT (obsolete),environmental impact w/o LT,"nutrient enrichment, separate N potential w/o LT",1.2114573807735234e-07
EDIP w/o LT (obsolete),environmental impact w/o LT,"nutrient enrichment, separate P potential w/o LT",1.8395108695609177e-08
