Name,BUURTCODE,Food,Green_electricity,nongreen_electricity,Gas,Water,Car,Train,bustram,Clothes,Furniture,Paper
Archipelbuurt,46,1037.501557,10.19962537,413.902612,220.5145181,7.424707099,2504.463035,92.91268304,62.07120239,31.25360121,234.8556846,40.84714237
Arendsdorp,78,1018.181711,9.113999942,381.7360784,224.5475556,5.636769872,2291.599853,91.94866323,62.22974822,26.79141715,260.2861023,39.10891509
Belgisch Park,71,1056.78101,10.91706284,394.8209811,194.907003,6.364744355,2414.062997,95.64621963,65.78003452,31.50716472,240.8773075,37.48069575
Bezuidenhout-Midden,65,1038.48741,10.79476258,380.8693251,197.112196,6.816835771,2557.098434,91.10785665,60.64353748,30.43126105,239.7241922,36.90647376
Bezuidenhout-Oost,66,1049.314747,9.596771355,337.0274953,195.5354628,6.9926286,2688.038059,91.81721234,60.34153915,30.9103434,242.1316406,40.97047392
Bezuidenhout-West,64,1028.834265,10.18887605,338.648846,76.51059217,6.642173326,2397.647627,100.7121982,71.42882046,29.19479509,235.441898,24.46772302
Binckhorst,60,1190.70012,1.64571267,63.07791361,1.42677095,1.317149634,3274.544267,95.05665473,64.99890405,29.50721171,197.1446153,37.2918767
Bloemenbuurt-Oost,51,1048.663759,10.05718905,351.2464091,178.2398266,6.202590052,2471.456206,92.13426599,61.34403898,29.80046993,215.7745835,36.69767767
Bloemenbuurt-West,50,1048.208984,9.214873298,345.2680497,186.1936752,5.737902007,2404.651795,92.19723874,61.54463825,31.0519642,230.099156,40.63358211
Bohemen en Meer en Bos,92,1059.647735,9.91381513,419.7753292,205.1640401,6.96551387,2415.406919,95.59750437,63.7799163,31.29726657,233.276145,40.82872017
Bomenbuurt,52,1050.771717,10.00499359,351.1032773,197.2971594,6.273341831,2489.807995,91.93201348,61.11398149,29.2351399,216.8846848,34.98547796
Bosjes van Pex,81,1048.519257,9.870375402,366.4375646,199.872,6.294237999,2485.749228,94.68498245,64.07736409,32.0288366,240.8373536,44.46688243
Bosweide,108,1037.577042,12.9124181,394.0523056,0,4.664133885,2361.06655,90.75700757,62.33627874,25.3756274,261.4060266,42.34970264
Burgen en Horsten,69,1063.956398,10.68618495,361.9807267,163.7597073,6.491902927,2485.509128,92.95568737,61.87178853,30.01473459,245.5681537,26.83221401
Componistenbuurt,93,1066.597732,10.96088494,403.1410249,205.2414685,6.841466281,2431.126254,95.87328339,64.24478352,31.547229,238.9519534,41.51159733
De Bras,115,1026.28442,10.1428098,285.1702511,4.468625108,4.233083624,2320.455423,88.12268513,59.83197576,26.42339999,257.5269101,42.13999842
De Lanen,118,1039.588584,10.31059076,296.7195357,92.13890012,4.225665775,2365.396171,87.49310671,59.03114246,26.28471363,261.7807156,38.75201129
De Uithof,99,1072.91471,13.14362841,484.1425032,195.4666087,6.465106732,2287.060021,96.04837761,65.18369195,29.45867727,236.4426705,34.79805697
De Velden,119,1055.698155,10.26910202,324.1953461,99.27818008,4.673015404,2462.937278,90.55319455,61.31461092,26.07648212,258.4524892,42.19145475
De Venen,111,1039.341635,16.82484957,466.4330152,3.582700855,5.29909103,2502.87399,88.33946905,58.87825106,24.79681439,261.1478358,37.68579937
De Vissen,120,1054.330095,10.44463515,333.6238031,102.0330958,4.562775355,2425.995208,91.61812399,62.20782713,26.76178515,254.9170179,42.08274006
Dreven en Gaarden,98,1065.280007,8.761728048,237.8952304,125.6592399,5.02952036,2376.374965,92.64685589,63.11020941,25.60373748,118.9983691,28.58231849
Duindorp,100,1071.364741,12.22529918,353.2490401,98.14127286,5.496833145,2512.255792,90.01498646,59.94942132,26.16883996,236.2431399,30.14058783
Duinzigt,76,1029.17661,10.22165686,504.1906963,286.9738677,7.370246467,2212.58912,99.15295956,67.68829315,30.80959386,250.8209671,41.43469689
Duttendel,74,1037.582092,12.26106468,537.6924164,270.175814,6.126294267,2331.913247,95.12554424,64.29789929,30.73123612,236.972049,37.46330914
Erasmus Veld,101,1057.480741,9.312646421,313.4803352,86.15261252,4.386675021,2412.316779,94.49027826,64.25057751,30.40951645,233.49256,40.31053227
Eykenduinen,83,1052.576692,9.590210594,336.5858121,180.7823909,6.034227366,2544.118085,90.95795506,60.11751182,30.11274266,218.2182507,40.39013027
Geuzenkwartier,8,1037.946056,8.806925495,343.1715373,177.2592984,5.932217084,2478.365044,92.79099113,62.27493942,29.77693939,216.3302218,35.68595148
Groente- en Fruitmarkt,21,1072.659103,9.407438113,234.6206313,127.4818589,4.489979113,2445.662482,93.15721977,64.29097614,24.4541652,109.238373,28.55863721
Haagse Bos,49,1082.245283,6.968134139,277.0125728,168.1276236,7.413692332,2582.609688,95.68913387,63.36119914,30.81559999,246.3652943,41.5713826
Heesterbuurt,54,1059.799233,9.634358226,293.9516736,169.1238736,6.191865549,2585.55625,91.60764724,61.03536462,29.28598033,225.606731,22.47327127
Hoge Veld,102,1040.480058,9.755266937,273.7555599,18.70483823,4.454133725,2328.557182,88.76564046,60.11607336,25.16217185,259.0603496,36.81944521
Houtwijk,86,1068.286311,9.861422754,315.9274105,120.8274571,5.20371945,2452.115953,92.88855229,62.71412247,31.09986371,228.5281843,34.52708287
Huygenspark,18,1064.068201,11.47483201,325.0531531,140.0306523,6.922865104,2406.796785,105.7447472,76.99647006,30.13420846,133.7938589,35.7427376
Kampen,67,1068.391073,9.911449142,325.9967156,180.2760407,6.714201842,2573.292565,91.5217462,60.52790115,30.24754162,239.0885766,24.61376042
Kijkduin,91,1065.432271,12.73629633,555.7479115,212.364,6.480417594,2379.395918,96.77426127,65.77029209,31.57832698,234.8182531,44.12070308
Kom Loosduinen,95,1067.987492,9.86411874,344.4195008,147.5771819,6.23312289,2439.889093,94.35287523,63.11849547,30.72475527,225.7091311,36.27192115
Koningsplein en omgeving,44,1060.307733,11.57788884,388.9487,224.0259485,6.696938239,2661.535338,91.75390695,60.87123433,29.128441,243.8572386,35.80455893
Kortenbos,11,1070.455599,10.66808612,357.4449839,138.1589443,7.010017891,2658.873324,93.8823917,63.00716153,29.68540027,248.3400623,40.73146472
Kraayenstein,97,1066.272534,10.91687272,370.3063068,148.2360375,5.424803267,2513.487839,90.80493694,60.58123699,31.4573273,234.9027881,41.09939927
Laakhaven-Oost,19,1067.652066,10.86703511,271.0220932,97.26281482,6.175973953,2437.807899,100.2345641,70.96772193,30.17022515,134.4131255,27.48400612
Laakhaven-West,22,1071.56258,10.55986855,273.7588947,128.2753829,5.882611205,2483.189548,95.55962865,66.17519256,28.37023419,117.9515506,26.59840036
Laakkwartier-Oost,25,1079.552385,9.987506478,262.4088441,170.3152562,5.576037727,2571.460982,93.15820036,63.27532568,29.00337096,142.7262009,25.45114567
Laakkwartier-West,24,1079.074544,9.799779232,259.9637481,166.2578504,5.31749404,2569.177856,92.27055603,62.53347572,28.37066519,136.1513992,25.52123738
Lage Veld,104,1059.742722,10.04909785,312.6323014,100.7846721,4.791305528,2465.541419,91.48361688,61.71898134,29.69952875,239.812052,40.90195516
Landen,61,1063.746707,9.529769234,307.597618,147.5911154,6.216378409,2495.327411,92.3962111,61.79155143,30.07115369,229.490023,23.84425661
Leyenburg,84,1072.702135,10.60742566,317.4686322,124.0914822,5.948223691,2525.895454,93.39618375,62.75474914,30.26622259,234.1416992,28.9989936
Marlot,68,1044.791088,12.95479443,443.011064,284.3589565,5.679299158,2299.112818,92.60889637,63.62727048,26.82551857,248.1696696,38.69101454
Moerwijk-Noord,38,1074.940522,9.440706506,249.8317033,154.0073061,5.341940948,2498.047078,91.51787177,61.96933626,25.32371108,124.8217253,27.29025569
Moerwijk-Oost,20,1079.484176,8.9572726,247.4584394,120.9621807,5.517710565,2511.510838,91.00795989,61.49296017,25.15122442,118.0798626,27.54885477
Moerwijk-West,37,1070.84042,7.95049834,218.0942599,131.77325,5.321423151,2452.08242,90.32485616,60.73942508,25.14384083,119.1714672,27.39870167
Moerwijk-Zuid,39,1072.297706,8.352053047,217.7728394,125.2187217,5.587669997,2466.111546,91.10946478,61.82130273,24.17149868,116.4157216,25.83298665
Morgenstond-Oost,89,1078.386725,8.891910303,252.1492186,144.2421583,6.190560603,2557.000507,91.04259666,60.797848,29.19135764,141.3386202,26.18552466
Morgenstond-West,88,1067.261459,9.421489078,260.2452341,101.4655179,5.341400982,2450.432532,91.58465499,61.73962009,26.25151437,233.0964031,24.86687338
Morgenstond-Zuid,80,1072.464983,8.677800185,234.202587,141.2202226,5.63351128,2538.768875,90.54042449,60.50066898,25.33650428,123.3425817,27.29352706
Morgenweide,112,1040.065441,10.44692928,303.1553263,0,4.836001838,2426.210359,90.28985941,61.16541989,26.04992654,256.1919453,38.95285685
Nassaubuurt,48,1020.132928,10.90008371,443.4487615,258.8086154,6.582933135,2403.843008,91.27289647,61.25564969,26.75715081,258.1708254,37.93991087
Nieuw Waldeck,40,1063.106447,9.376880186,300.4782434,143.7378918,5.414402881,2441.346903,92.77346561,62.40043549,30.41156052,185.2459437,29.76225496
Noordpolderbuurt,26,1075.372284,9.384762866,246.1192252,146.5258958,5.288131131,2499.349262,94.57377793,65.24463679,28.22705661,114.0740483,26.92950589
Ockenburgh,90,1055.590217,12.36245175,461.814815,231.8920252,4.846524144,2469.789864,95.49204865,66.42240975,31.80178911,242.954669,45.06368856
Oostbroek-Noord,31,1076.631559,9.32277789,244.4966415,167.30952,5.410596755,2598.793986,91.75261516,61.69453636,28.97527664,144.2617959,25.57062246
Oostbroek-Zuid,35,1071.108141,9.585213524,245.7376008,167.8316872,5.252976186,2530.026386,92.40663943,62.81461485,24.55717985,128.955838,27.10682829
Oud Scheveningen,1,1073.554531,9.797364727,329.6853576,174.0894247,6.451428068,2632.189107,90.84564204,59.75995193,30.28385342,233.7659068,36.00942422
Parkbuurt oosteinde,103,1066.352223,11.41655336,361.7999885,119.7205079,4.765875178,2475.284102,91.68950047,62.69907447,30.19391342,259.6039561,42.23702667
Rietbuurt,121,1032.247542,9.763858603,273.9792902,98.79738657,4.365162016,2319.34236,85.53680912,57.30156568,25.98859286,262.4994681,39.82845316
Rijslag,72,1061.058424,12.14036008,424.0777146,219.1315776,6.753947142,2439.879408,95.26146514,64.6707292,31.36237561,245.1377124,41.6337736
Rivierenbuurt-Noord,63,1076.733158,10.50721643,326.9511553,104.0849539,6.413325648,2627.109532,93.98694957,63.74248364,29.22962053,256.8728074,24.86998771
Rivierenbuurt-Zuid,62,1088.273565,13.49504363,401.6140709,255.0817412,7.436321888,2688.921301,101.954331,71.87727103,30.28721753,136.4987003,35.88979693
Rond de Energiecentrale,10,1063.838764,9.544741448,327.9400742,131.8961276,6.21567692,2644.723741,93.41881898,62.69462975,29.25124649,236.3941608,34.08898989
Rosenburg,82,1073.987497,8.71661973,330.959203,155.2556701,6.070761618,2454.78612,95.10342443,63.5577062,30.71343333,230.2803177,36.13625796
Rustenburg,30,1078.934936,9.545533753,263.5670403,157.8724852,5.611106427,2582.836858,91.48115076,61.31863067,29.06193626,162.0860107,25.57548226
Scheveningen Badplaats,3,1069.210158,10.73551549,355.2226116,201.1956215,6.635782947,2579.257168,92.37657212,61.67217132,30.18882958,230.4892459,35.95392477
Schildersbuurt-Noord,16,1057.370555,8.534620197,217.285617,111.1915193,4.66570861,2398.402856,93.20897629,64.05235493,24.74132447,157.5918561,30.91057287
Schildersbuurt-Oost,17,1055.795427,7.975635355,199.7169902,104.5031535,4.223782746,2372.674831,94.07915411,65.18124316,24.7372153,155.6381275,30.69897689
Schildersbuurt-West,15,1060.304333,8.621775388,216.1884659,121.440904,4.533680839,2423.89218,93.68326401,64.61163573,23.68140996,126.9639737,31.13280524
Singels,113,1046.167413,10.84302998,327.9583594,60.71972832,4.75280345,2452.831729,91.32262172,62.04841806,25.1684105,254.041192,41.53466845
Spoorwijk,23,1060.731403,10.74992677,273.0888426,72.33270968,4.627064923,2433.831473,91.46710799,62.32220151,24.59374527,157.7431134,28.1097723
Stadhoudersplantsoen,42,1029.590334,9.59060472,403.483365,199.3337959,7.064189967,2519.767442,91.99819669,61.0433326,30.52607544,240.6824767,37.27982522
Statenkwartier,7,1031.014783,10.42648516,395.3780217,225.3414051,6.277384999,2420.655277,91.97091846,62.0334702,27.68164597,241.5930476,38.15411342
Sweelinckplein en omgeving,43,1031.3073,10.85599896,433.1606392,222.545852,6.500931912,2569.547179,91.29212147,60.86019724,31.13613399,220.5278961,35.424171
Transvaalkwartier-Midden,33,1075.927345,8.938378725,228.2273705,112.7122558,4.510340904,2380.50398,91.45507782,62.37522547,23.8917038,115.482075,27.11385813
Transvaalkwartier-Noord,32,1080.489777,8.877693697,220.6747983,129.6451813,5.005234162,2458.077997,93.79611792,64.24810069,24.86344541,110.5296381,29.64691595
Transvaalkwartier-Zuid,34,1082.724723,8.752916125,218.0326053,124.7876268,4.375656865,2441.327234,92.5420759,63.59890944,23.31257482,114.4342,29.00567802
Uilebomen,13,1075.754565,10.74291462,360.5010976,59.91533332,6.82120931,2746.641613,90.86420248,59.54812568,29.91368597,245.0723042,41.12728708
Uilennest,75,1030.40242,10.99443075,469.2221893,219.4692381,7.031068231,2449.912399,92.12958107,60.93391478,30.36836906,250.683709,37.24696804
Valkenboskwartier,55,1067.407822,10.44113225,321.940577,198.4069226,6.073243636,2628.961872,92.49528415,61.89683965,28.85791443,238.0764858,22.68592381
Van Hoytemastraat en omgeving,79,1017.784079,10.24542924,399.2515808,221.8447458,5.908985441,2415.920299,89.17181097,59.38393564,26.65030332,258.478797,38.66132518
Van Stolkpark en Scheveningse Bosjes,5,1035.348517,9.519222658,443.2259947,241.055421,6.186448591,2320.484861,95.05409236,64.66851579,30.79767057,231.9445429,36.93963294
"Venen, Oorden en Raden",87,1065.95747,8.601612901,228.9838182,141.3868375,5.037400962,2405.116981,91.74862451,62.37739938,25.51783236,117.4970216,27.04318288
Visserijbuurt,4,1059.590445,10.21737815,346.5051695,197.5562694,6.274742858,2461.276466,93.30010953,62.65597531,30.24145602,249.6845725,35.71826522
Vissershaven,2,1059.992508,9.516404888,326.7882647,143.1667416,5.85507883,2474.92064,91.61194955,61.08731663,31.00774895,221.5096347,26.56738341
Vlietzoom-Oost,116,1034.118945,15.50359758,646.3935905,313.5492,5.960898568,2679.42603,103.0268111,71.22471114,31.49070667,245.099209,45.14558276
Vlietzoom-West,106,1010.901016,14.56296352,560.980213,280.376,6.316421343,2446.169606,89.49999983,60.77314112,31.25232147,241.6431755,41.04692307
Vogelwijk,9,1042.59084,10.92439523,431.9256318,232.3823327,5.330574861,2296.304089,91.41481955,62.16135234,27.12600713,240.1810058,41.19314261
Voorhout,12,1090.301387,13.34522114,466.5052049,201.5458514,8.778005662,2785.150209,96.28500674,64.74179307,31.14878439,252.486802,42.3609285
Vruchtenbuurt,53,1045.41139,9.330453886,323.7204765,174.4017641,5.528577493,2449.411071,91.02488525,60.85531226,27.67517731,239.8499703,38.1792077
Waalsdorp,77,1016.398803,10.3439801,416.6187208,228.2804619,5.98776818,2310.84309,89.98451344,60.58638014,26.87715602,240.1736601,37.90239679
Waldeck-Noord,94,1068.005058,11.46591642,499.513575,159.8182857,7.357857645,2309.817172,98.70820721,66.44448851,30.25197021,250.7005829,40.77133798
Waldeck-Zuid,6,1061.897201,11.35405649,408.1890443,153.491656,6.472654576,2385.239874,94.48444116,63.26471747,31.06806926,225.2155957,36.25695458
Waterbuurt,114,1040.398658,10.66243127,306.7860539,10.55170681,4.711727734,2448.398036,90.03975082,60.79985872,26.04440289,244.1298955,36.707059
Westbroekpark,73,1040.95074,11.64665089,541.7592957,270.9281363,6.947044411,2226.691071,99.01421032,68.23707142,30.99353826,250.8209671,41.43469689
Willemspark,47,1072.36813,11.97338055,480.7259531,161.1384161,8.038137973,2682.048305,92.77201718,61.43292755,31.50807608,231.1280949,41.55125855
Zeeheldenkwartier,45,1065.304173,10.57606543,366.7513896,171.9081064,6.881901165,2665.255599,93.61414452,62.80089941,29.76303771,250.4418228,42.03720193
"Zijden, Steden en Zichten",96,1068.462328,8.813986037,235.7024357,131.9042038,5.232882451,2455.871884,90.5747454,60.90638415,26.05142552,125.017203,27.93595235
Zonne Veld,105,1052.330587,10.21198794,293.039431,103.3535465,4.327683646,2453.288035,90.86178193,61.89161366,24.93042419,254.1668379,41.36636143
Zorgvliet,41,1069.889573,13.42347209,508.6959442,183.32704,7.570597195,2452.289227,93.65127477,62.8013403,30.81458129,257.8917032,42.28355163
Zuidwal,14,1079.225082,10.69063723,353.2373438,123.789037,7.234122991,2740.933838,94.70004036,63.53100901,29.73937752,240.6159057,34.59727028
